emoji,times sent
😭,3825
😂,1828
❤,1131
🥰,414
👀,322
💀,263
🔥,233
🥀,172
😔,164
✨,152
😳,126
🎉,119
🤣,118
🥳,117
😜,96
🥺,78
😌,71
🙏,70
😍,65
😅,64
😩,62
😎,61
👌,58
🤔,56
👍,55
♂,51
🙃,49
😇,47
🙈,46
🤷,45
💜,42
🗣,42
😁,42
😱,42
👉,39
🤗,37
🤓,37
👁,35
😤,34
🇱,28
💛,28
😋,27
🥹,27
😶,27
🤢,26
💦,25
😏,24
🫡,24
🤫,24
👈,24
🤌,24
🇷,24
🇪,23
😡,23
😢,22
😊,22
🇹,21
❄,21
🐶,20
☺,20
🟩,20
💪,19
☠,19
🤩,19
🥲,19
🤮,19
🇮,19
🐾,17
🇺,17
🙄,17
🇸,17
🦅,17
🇦,17
😝,16
😘,16
😆,16
🗿,16
🇧,14
🫠,14
🤬,14
💅,13
🇵,13
🇲,13
☕,13
🤤,13
🥴,12
🇳,12
🤨,12
🤡,11
🥵,11
🍆,10
😈,10
🔤,9
👃,9
☝,9
👏,9
🌎,9
😞,9
💯,8
🎶,8
🤪,8
🇨,8
🌚,8
😐,8
😰,8
💸,8
🇰,8
♀,8
✍,8
❗,7
✂,7
🚘,7
🇫,7
🇬,7
🙌,7
🍝,7
💚,6
🔪,6
😵,6
✌,6
💠,6
🤞,6
🙂,6
⚠,6
💃,6
😑,6
💥,6
📉,6
😉,5
😒,5
🤦,5
🐁,5
👎,5
🤖,5
🌈,5
✅,5
👑,5
🎂,5
🔫,5
👨,5
🫦,5
🩷,5
💶,5
🤲,5
☭,5
🧡,5
🎊,5
🚨,4
👆,4
🥶,4
🐀,4
✧,4
🖕,4
💫,4
💔,4
🇩,4
📅,4
🧐,4
🧀,4
🕋,4
🫖,4
🤭,4
👹,4
🧎,4
✊,4
💕,4
🔧,4
🪿,4
🔊,3
🖤,3
😬,3
🚫,3
❌,3
🔴,3
🏻,3
🏼,3
✿,3
😲,3
🎨,3
🚬,3
😮,3
💨,3
💩,3
🤝,3
🫥,3
🎟,3
🇿,3
🐓,3
👋,3
🏴,3
😴,3
💤,3
💵,3
🤍,3
➡,3
🫵,3
🐹,3
🐝,3
😣,3
🍀,3
🤘,2
⚫,2
🍜,2
🚆,2
🥚,2
🍻,2
🌞,2
🍏,2
📱,2
⚡,2
🔺,2
🟥,2
♥,2
🍔,2
💙,2
🩵,2
🙊,2
👇,2
😄,2
🎥,2
🧍,2
📷,2
✈,2
📩,2
🧃,2
✝,2
🇭,2
😃,2
☀,2
😫,2
🦟,2
🫸,2
🫷,2
💋,2
📍,2
🔗,2
🟦,2
🌟,2
🐊,2
🥷,2
🪵,2
🦫,2
🕺,2
🏳,2
💊,2
🎵,2
🐺,2
👄,2
🎮,2
💭,2
🫶,2
🍞,2
🦠,2
👫,2
🎄,2
🔵,1
🧸,1
🦈,1
😦,1
🛠,1
😨,1
🪓,1
🍹,1
😕,1
🖥,1
🐿,1
🫐,1
🥁,1
🔹,1
🔰,1
🔮,1
🍊,1
👔,1
🐈,1
🐙,1
🍴,1
🦑,1
🍵,1
🦐,1
🫴,1
🐌,1
🍌,1
🪣,1
😗,1
🚒,1
🎃,1
👻,1
🧛,1
📢,1
🗳,1
♿,1
🇾,1
🇻,1
🇴,1
🗑,1
🗺,1
🎫,1
🍖,1
😼,1
💧,1
🐸,1
🙉,1
🐔,1
🧟,1
🏇,1
🌾,1
🙆,1
🦖,1
🚝,1
🥖,1
🤙,1
✋,1
🫱,1
🫲,1
🤚,1
🫨,1
😖,1
🔬,1
🍇,1
⚙,1
🏞,1
⛪,1
⛰,1
🦞,1
🪑,1
🥐,1
🌳,1
🦶,1
🍉,1
🏌,1
🏏,1
👸,1
🧅,1
🎸,1
😪,1
🦃,1
🌷,1
🌼,1
🌀,1
📜,1
🔎,1
😙,1
🧁,1
🐟,1
🤯,1
☹,1
🥭,1
😿,1
👳,1
🔻,1
🌻,1
🌐,1
🧑,1
💻,1
💬,1
📦,1
📣,1
📬,1
👶,1
🌋,1
🤧,1
🍿,1
✡,1
🎈,1
🥱,1
🔛,1
🔝,1
🛑,1
🍾,1
😽,1
🔔,1
💞,1
🕓,1
🐜,1
🏎,1
🕌,1
🧙,1
💖,1
🎩,1
🫛,1
🦌,1
🍁,1
🫣,1
🔨,1
🎾,1
🍰,1
🥂,1
🐯,1
🎬,1
🦊,1
🐰,1
🕢,1
🥬,1
🍐,1
🦳,1
🥦,1
🐕,1
🔄,1
📈,1
🍅,1
🙁,1
🍟,1
🧦,1
🧱,1
🐖,1
🚓,1
🫢,1
😹,1
🟠,1
🐻,1
🚶,1
👊,1
😠,1
🕠,1
🎅,1
🚑,1
💰,1
🙅,1
👬,1
👪,1
📋,1
✏,1
🎲,1
👥,1
🔜,1
😀,1
🤸,1
🥍,1
🙋,1
🏆,1
🏄,1
🏾,1
🪢,1
⛔,1
👩,1
🦼,1
